,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
7068,7068,F36484,8397,E,2.0,41:56.3,22/10/2021,22/10/2021 00:00,22/10/2021,,587.13,0.0,0.0
7069,7069,F36485,8408,E,3.0,18:15.0,22/10/2021,22/10/2021 00:00,22/10/2021,,1352.5,0.0,0.0
7070,7070,F36486,5926,E,2.0,44:22.9,22/10/2021,21/10/2021 00:00,22/10/2021,,1856.99,0.0,0.0
7071,7071,F36487,5926,E,2.0,51:04.0,22/10/2021,21/10/2021 00:00,22/10/2021,,377.83,0.0,0.0
7072,7072,F36488,5804,E,2.0,54:11.3,22/10/2021,22/10/2021 00:00,22/10/2021,,920.0,0.0,0.0
7073,7073,F36489,6724,E,2.0,47:50.9,25/10/2021,20/10/2021 00:00,25/10/2021,,210.0,0.0,0.0
7074,7074,F36490,253,E,3.0,13:43.3,25/10/2021,25/10/2021 00:00,09/12/2021,,3923.0,0.0,0.0
7075,7075,F36491,5746,E,2.0,59:28.7,25/10/2021,25/10/2021 00:00,25/10/2021,,519.5,0.0,0.0
7076,7076,F36492,6253,E,1.0,07:43.0,25/10/2021,25/10/2021 00:00,24/12/2021,,9500.0,0.0,0.0
7077,7077,F36493,8473,E,2.0,10:17.4,25/10/2021,13/10/2021 00:00,25/10/2021,,1366.75,0.0,0.0
7078,7078,F36494,8325,E,2.0,25:44.9,25/10/2021,25/10/2021 00:00,25/10/2021,,300.0,0.0,0.0
7079,7079,F36495,5926,E,2.0,10:02.3,25/10/2021,25/10/2021 00:00,25/10/2021,,1450.67,0.0,0.0
7080,7080,F36496,3032,E,2.0,25:21.7,26/10/2021,26/10/2021 00:00,26/10/2021,,637.5006,0.0,0.0
7081,7081,F36497,6152,E,3.0,46:22.6,26/10/2021,20/10/2021 00:00,03/11/2021,,6204.8,0.0,0.0
7082,7082,F36498,4598,E,1.0,30:42.9,26/10/2021,25/10/2021 00:00,25/11/2021,,19156.3,0.0,0.0
7083,7083,F36499,6009,E,2.0,41:43.5,26/10/2021,26/10/2021 00:00,26/10/2021,,275.88,0.0,0.0
7084,7084,F36500,4535,E,2.0,58:21.2,26/10/2021,26/10/2021 00:00,26/10/2021,,1424.5,0.0,0.0
7085,7085,F36501,4535,E,2.0,59:51.8,26/10/2021,26/10/2021 00:00,26/10/2021,,1330.0,0.0,0.0
7086,7086,F36502,5923,E,2.0,12:11.6,26/10/2021,26/10/2021 00:00,26/10/2021,,570.0,0.0,0.0
7087,7087,F36503,6890,E,2.0,17:25.7,26/10/2021,26/10/2021 00:00,26/10/2021,,240.0,0.0,0.0
7088,7088,F36504,5926,E,2.0,09:16.7,27/10/2021,26/10/2021 00:00,27/10/2021,,607.92,0.0,0.0
7089,7089,F36505,8487,E,2.0,31:36.2,27/10/2021,27/10/2021 00:00,27/10/2021,,130.0,0.0,0.0
7090,7090,F36506,8488,E,2.0,54:28.3,27/10/2021,27/10/2021 00:00,27/10/2021,,115.6522,0.0,0.0
7091,7091,F36507,6797,E,2.0,47:46.8,27/10/2021,27/10/2021 00:00,27/10/2021,,403.25,0.0,0.0
7092,7092,F36508,8490,E,2.0,27:45.1,27/10/2021,27/10/2021 00:00,27/10/2021,,1680.0,0.0,0.0
7093,7093,F36509,8490,E,2.0,30:37.8,27/10/2021,27/10/2021 00:00,27/10/2021,,902.02,0.0,0.0
7094,7094,F36510,4480,E,2.0,01:57.5,27/10/2021,21/10/2021 00:00,11/11/2021,,2904.4,0.0,0.0
7095,7095,F36511,4480,E,2.0,07:43.2,27/10/2021,27/10/2021 00:00,11/11/2021,,1137.5,0.0,0.0
7096,7096,F36512,8186,E,2.0,22:24.0,27/10/2021,27/10/2021 00:00,27/10/2021,,94.84,0.0,0.0
7097,7097,F36513,4403,E,2.0,35:40.7,27/10/2021,27/10/2021 00:00,27/10/2021,,847.0,0.0,0.0
7098,7098,F36514,5589,E,2.0,02:54.6,27/10/2021,27/10/2021 00:00,27/10/2021,,965.0,0.0,0.0
7099,7099,F36515,5589,E,2.0,04:26.8,27/10/2021,26/10/2021 00:00,27/10/2021,,2106.0,0.0,0.0
